Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
Abborrberg;157010;65.4833;16.6000;0
Abild;62570;56.9512;12.7909;0
Abisko;188800;68.3557;18.8206;0
Abisko Aut;188790;68.3555;18.8211;0
Abraur;158990;65.9867;18.9236;1
Adak D;158820;65.3830;18.6201;1
Adelsî A;97280;59.3582;17.5244;0
Adolfsfors;92480;59.8000;12.2333;0
Agî;117330;61.5500;17.4666;0
Aktse;178740;67.1498;18.3061;0
AlingsÜs D;72560;57.8898;12.5520;1
Allavaara;180790;67.2594;20.1205;0
Allgunnen;75040;57.0666;15.9681;0
Almagrundet A;99090;59.1547;19.1298;0
Almdalen;134590;63.9967;14.6701;1
Almunge;98560;59.9341;18.0499;1
Alnarp;53640;55.6500;13.0833;0
Alnarp Fruktavdelning;53390;55.6571;13.0923;0
Alstrum;93720;59.4833;13.6000;0
Aluokta;178790;67.3094;18.9011;0
Alvhem;82000;58.0067;12.1454;0
Ambjîrnarp;73250;57.4166;13.2833;0
AmmarnÑs D;156990;65.9621;16.2184;0
Andersviksberg;103220;60.3694;13.8749;1
Aneboda I;74730;57.1166;14.5666;0
Aneby;74510;57.8232;14.8913;0
Ankarvattnet;144650;64.8666;14.2500;0
Ankarvattnet D;144530;64.8779;14.2293;1
Arboga;95230;59.3833;15.8333;0
Arjeplog A;167710;66.0526;17.8434;0
Arjeplog-Myrheden D;158980;65.9799;18.2287;1
Arlanda;97390;59.6600;17.9208;0
Arvidsjaur A;159880;65.5953;19.2682;0
Arvika;92400;59.6658;12.5910;0
Arvika A;92410;59.6747;12.6381;0
Arvingetorp;75280;57.4496;15.0344;0
Aske;97630;59.6166;17.6500;0
Asker D;95100;59.1594;15.4673;1
Askersund;84660;58.8800;14.9000;0
Askeryd;75480;57.8055;14.9925;0
AspeÜ;137220;63.4002;17.4947;1
Asphyttan;94370;59.6112;14.1859;0
Austers D;78480;57.8103;18.6335;1
Avasjî-BorgafjÑll D;145500;64.8366;15.0918;1
Avesta;106070;60.1419;16.1747;0
Axelfors;73270;57.4500;13.1000;0
Backa;105550;60.9230;15.1145;0
Backarna;117710;61.5666;16.3000;0
Backe D;136490;63.8148;16.4058;1
Bakarebo D;63550;56.9029;13.6960;1
BaksjînÑset;132420;63.7062;12.6526;0
Ballastviken;166840;66.4900;16.5346;0
Balsjî D;139570;63.9206;19.0703;1
Baramossa;62220;56.3840;12.9839;1
Barkarby;97260;59.4166;17.8833;0
BarkÜkra;62180;56.2900;12.8463;0
Bastorp;82540;58.9040;12.0380;0
Beateberg;98410;59.6576;18.4206;0
Beddingestrand;53190;55.3606;13.4343;0
Bengtsfors D;92040;59.0459;12.2326;1
Berg;74080;57.1210;14.6931;1
Berga;98610;59.0833;18.1166;0
Bergaholm;97130;59.2291;17.7164;0
Bergfors;189740;68.1500;19.8000;0
BergnÑsudden;158900;65.6666;18.1500;0
Bergsjî;117570;61.9488;17.0669;1
Bergvik;116160;61.2602;16.8350;0
Bersbo;86160;58.2635;16.0417;0
Biellojaure;155950;65.7992;15.7208;0
Billingsfors;82590;58.9884;12.2589;0
BingsgÑrde;62240;56.4000;12.9666;0
BispgÜrden;136010;63.0335;16.5536;0
BispgÜrden;136020;63.0295;16.6232;0
Bjurfors;106080;60.1316;16.1282;0
Bjurholm;139560;63.9329;19.2200;0
BjursÜs-SÜgsbo;105460;60.7746;15.3844;0
BjurÜker;116650;61.8500;16.5833;0
Bjurîklubb;151290;64.4806;21.5787;0
Bjurîklubb A;151280;64.4812;21.5791;0
Bjuv D;62050;56.0958;12.8862;0
BjÑrbolund;62730;56.1833;12.7666;0
BjÑrka-SÑby;85160;58.2662;15.7431;0
BjÑrnum D;63180;56.2907;13.7464;1
Bjîrka;53650;55.7000;13.6333;0
Bjîrkbacken;155920;65.7456;15.5515;0
Bjîrkede;142030;64.0432;12.9414;0
Bjîrkfors;163680;65.9166;23.4666;0
Bjîrkfors;163980;65.9333;23.4666;0
Bjîrkliden;188680;68.3800;18.6800;0
Bjîrkudden;178820;67.3956;18.7156;0
Bjîrkvik;155850;65.4987;15.5589;0
Bjîrkvik D;86500;58.8205;16.4998;1
Bjîrn;107620;60.6333;17.9833;0
BjîrnegÜrden;83640;58.5166;13.0666;0
Bjîrnliden;122020;62.0444;12.3953;0
Bjîrnstorp;53380;55.6254;13.4122;1
Bjîrsarv;126020;62.0310;16.2995;0
Blaiken D;156780;65.2511;16.8570;1
Blaikliden;155710;65.0464;15.7486;0
Blankastrîm;75140;57.2166;15.9166;0
Blattnicksele;157800;65.3371;17.4606;0
Blomskog;92170;59.2891;12.0542;0
Blomskog A;92130;59.2217;12.0780;0
Boarp;62720;56.3333;12.9333;0
Boda;117640;61.5833;17.0000;0
Boden;161940;65.8113;21.6860;0
Bogen;102040;60.0591;12.5558;0
Bogesund;98240;59.4084;18.2314;0
Boksjî;155900;65.6772;15.8245;0
Bollebygd;72400;57.6610;12.5521;0
Bollerup;54300;55.4907;14.0476;1
BollnÑs;116730;61.3500;16.4166;0
Bolmen;63490;56.8145;13.7003;0
Bolmsî;73020;57.0152;13.7280;0
Bomsund;135090;63.1506;15.7568;0
Bondstorp D;73340;57.5892;13.9285;0
Borgholm;66530;56.8833;16.6666;0
Borgunda;83170;58.2880;13.7995;0
Borgvattnet D;135260;63.4248;15.8283;1
Borgviksbruk;92210;59.3534;12.9623;0
BorgÑrdet;105440;60.7344;15.9083;0
BorlÑnge Aut;105280;60.4889;15.4324;0
BorlÑnge D;105310;60.4920;15.4274;1
BorlÑnge Flygplats;105260;60.4294;15.5079;0
BorÜs;72450;57.7611;12.9493;0
Botorp;74710;57.9833;14.7500;0
Bottnen;133410;63.6769;13.3699;1
Boxholm;85620;58.2000;15.0833;0
Boxholm D;85120;58.2048;15.0215;0
Brandstad;53420;55.6833;13.7333;0
BranÑs;113040;61.0665;13.4844;0
Bredbyn D;138270;63.4612;18.0717;1
Brednoret D;140560;63.9290;20.7805;0
Bredshult;76310;57.5249;16.2768;0
Bredviken;91130;59.2184;11.9858;0
BredÜkra D;65170;56.2523;15.2548;1
Bromîlla;64070;56.0642;14.4783;1
Brovallen;106040;60.0991;16.3062;0
Bruksvallarna;122390;62.6421;12.4192;0
Brunnshult;63420;56.7119;13.1626;0
Brunsberg;92370;59.6166;12.9833;0
BrÑmî;127620;62.1299;17.4498;0
BrÑmîn A;127130;62.2207;17.7426;0
BrÑnde;150200;64.3340;20.9608;0
BrÑnna;133400;63.6691;13.5494;0
BrÑnnberg D;161930;65.7938;21.2600;1
BrÑnnbergs fîrsîksgÜrd;161660;65.8000;21.2666;0
BrÑnnforssund;149390;64.6517;19.3708;1
BrÜlanda;82640;58.5666;12.3666;0
Brîsarp D;54410;55.7206;14.1049;1
Buresjîn A;157870;65.5592;17.8600;0
Buttle;78240;57.4034;18.5297;0
BygdeÜ;150040;64.0550;20.8763;0
Bygdsiljum;150630;64.3500;20.5000;0
Bygdsiljum D;150210;64.3681;20.4841;1
Byske;151570;64.9500;21.2166;0
Byske-Vitsjîn D;161700;65.0143;21.2468;0
BÑckaskog;64050;56.0483;14.3384;0
BÑckatorp;94610;59.1333;14.6500;0
BÑckefors;82490;58.8055;12.1581;0
BÑllefors;84620;58.5833;14.1166;0
BÑvertrÑsk;148370;64.6179;18.3387;1
BÜtvik;86170;58.2699;16.0790;0
Bîksholm;75610;57.0833;15.0000;0
Bîlestrand;136610;63.1333;16.1500;0
Bîrringe Kloster;53310;55.5061;13.3293;0
Bîrrum D;86220;58.3521;16.6256;1
Bîrtnan;123450;62.7290;13.9111;0
Bîrtnan A;123460;62.7557;13.8456;0
Charlottenberg;92530;59.8875;12.3039;1
Daglîsen A;94390;59.6616;14.1831;0
Dajkanvik;156740;65.1444;16.3000;0
Dal;134420;63.6970;14.1314;0
Dala-JÑrna D;104320;60.5600;14.3660;1
Dalarî D;98090;59.1342;18.4142;1
Dalen;133620;63.3166;13.0666;0
Dalkarlsjîhyttan;94570;59.9500;14.1333;0
Dalsjîfors;73430;57.7220;13.1238;0
Dalstuga;115040;61.0666;15.7000;0
Danasjî;156850;65.5374;16.5393;0
Danielshammar;85080;58.1333;15.2500;0
Dannemora;107120;60.2026;17.9049;0
Danskebo;85060;58.1060;15.2511;0
Degerfors D;94140;59.1903;14.3891;1
DegernÑs;94160;59.2500;14.4666;0
Degersjî;138110;63.1902;18.0314;0
Dejefors;93370;59.6082;13.4776;0
Delsbo;116480;61.7854;16.5505;0
Delsbo A;116490;61.8271;16.5418;0
DigernÑset D;132370;63.6240;12.9206;1
DikanÑs;156770;65.2337;16.0018;0
DikanÑs SkansnÑs;156790;65.3235;16.0353;0
Dingle;81320;58.5289;11.5724;0
Djurskog;91370;59.6072;11.9321;0
DjursÑtra;84200;58.3286;14.0637;1
DjurÜs D;105330;60.5581;15.1182;0
Djurî;98710;59.3166;18.7333;0
Domnarvet;105640;60.5000;15.4500;0
Drageryd;75120;57.2001;15.9666;0
Dravagen A;123060;62.0943;13.6115;0
DrÑlinge;97590;59.9923;17.5736;0
Dungen;73010;57.0166;13.7333;0
Dunker;96120;59.1469;16.8536;0
Duved;132240;63.3948;12.9416;0
DÜdran;105570;60.9402;15.5474;0
Dîdre;124480;62.7923;14.6870;1
Dînje;116240;61.3950;16.4145;0
Ed D;81550;58.9102;11.7723;1
EdebÑck;103050;60.0666;13.5500;0
Edevik;132590;63.9812;12.8709;1
Edsbyn;115230;61.3784;15.8352;0
Edsbyn A;115220;61.3613;15.7175;0
Edsele;136240;63.4047;16.5500;1
Eftra D;62510;56.8584;12.6475;1
Egernahult;63720;56.6166;13.3833;0
Eggegrund A;107440;60.7304;17.5612;0
Ekeby;85720;58.9333;15.9333;0
Ekefors;64330;56.5546;14.7571;0
Ekerum;66470;56.7849;16.5812;0
Eket;84080;58.1131;14.0760;0
EklÜngen;96140;59.2361;16.7462;0
EkorrtrÑsk;149300;64.5021;19.0514;0
Eksjî;74400;57.6690;14.9832;0
Emmaboda;65640;56.6333;15.5500;0
Emmaboda D;65360;56.5977;15.5347;1
Enkîping;97380;59.6407;17.0697;1
Erikstad;82380;58.6020;12.4447;1
Erikstad ô;85230;58.3833;15.8166;0
Eringsboda D;65260;56.4459;15.3663;1
Eskilstuna;96230;59.3867;16.4647;1
Eskilstuna A;96190;59.3832;16.4549;0
Esrange;181970;67.8911;21.0846;0
Evertsberg;113080;61.1340;13.9663;0
Fagered;72120;57.1978;12.8129;0
Fagerheden;160800;65.3373;20.9026;0
Fagerhult D;75090;57.1107;15.6415;1
Fagersta;105000;60.0023;15.8045;0
Fagerviken;107330;60.5420;17.7478;0
Falerum;86090;58.1425;16.2102;0
Falkenberg;62520;56.8994;12.4798;0
Falkîping;83090;58.1584;13.5397;0
Fallvik D;85090;58.1296;15.8608;0
Falsterbo;52230;55.3836;12.8203;1
Falsterbo A;52240;55.3838;12.8190;0
Falsterbo Skola;76610;57.6500;16.3700;0
Falun-Lugnet;105370;60.6190;15.6603;0
Farsta;98620;59.3165;18.3664;0
Fatmomakke;155740;65.0915;15.1320;0
Fellingsbro-FinnÜker;95320;59.5345;15.5857;0
Femsjî;63540;56.8900;13.3778;0
Filipstad;94430;59.7166;14.1666;0
Films Kyrkby A;107140;60.2363;17.9078;0
Films Kyrkby D;107130;60.2357;17.9072;0
Finnbacka D;115030;61.0566;15.5777;1
Finneby;125020;62.0424;15.4655;0
Finngrundets Fyrskepp;118610;61.0666;18.6833;0
FinspÜng;85430;58.7017;15.7790;1
FiskÜvattnet;144260;64.4367;14.7175;0
Fjugesta D;94110;59.1829;14.8557;0
FjÑlla;73550;57.9166;13.0833;0
FjÑllnÑs;122360;62.5772;12.2223;0
FjÑllsjînÑs;156880;65.6242;16.6077;1
FjÑlltuna D;146250;64.4181;16.4191;0
FjÑrdhundra D;96460;59.7666;16.9166;0
Flahult;74420;57.6898;14.1455;0
FlakatrÑsk;148150;64.2539;18.5184;0
FlatÜn;104360;60.6000;14.4333;0
Flen;96020;59.0502;16.6048;0
Floda A;96040;59.0561;16.3975;0
Flodafors;96600;59.0666;16.3666;0
Flîtningen;112510;61.8408;12.2944;0
FolkÑrna;106100;60.1690;16.3125;0
Forsbacka;106640;60.6166;16.9166;0
Forse;137080;63.1466;17.0262;0
Forserum;74430;57.7038;14.4685;0
Forshult;93580;59.9570;13.5298;0
ForsnÑs;75710;57.8500;15.2166;0
ForsnÑset;136310;63.5215;16.6774;0
Foskros;122010;62.0016;12.6708;0
FotskÑl D;72210;57.4382;12.4135;1
Franshammar;126060;62.1000;16.6700;0
Fredrika;148050;64.0763;18.4190;0
Fredrika A;148040;64.0753;18.3656;0
Fredriksberg;104090;60.1426;14.3951;0
Friggestad;53550;55.9032;13.9336;0
Frostviken D;144220;64.3866;14.3169;1
Frykfors;93320;59.5307;13.2566;0
FrÑmlingshem;106300;60.4993;16.9409;0
FrÑndesta;96010;59.0115;16.8803;1
FrÑnsta;126630;62.5000;16.1833;0
FrÑnsta 11;126300;62.5165;16.2084;0
Frîslida;63530;56.8666;13.0666;0
Frîsîn;134110;63.1974;14.4863;0
Frîsîn D;134130;63.1947;14.4898;0
Frîtuna;97550;59.9077;17.8611;0
Furuîgrund;151550;64.9112;21.2263;0
FÑgerhult;73390;57.6468;13.2369;0
FÑgre D;84390;58.6444;14.0659;1
FÑllfors;160740;65.1317;20.7891;0
FÜgelnÑs;72640;57.7666;12.4166;0
FÜgelsjî D;114480;61.7984;14.6477;1
FÜrî;79580;57.8987;19.1592;0
FÜrîsund;79520;57.8666;19.0500;0
FÜrîsund Ar A;78550;57.9167;18.9568;0
Fîllinge A;134410;63.6770;14.6079;0
Fîllinge-VÑgskÑlet;134460;63.7606;14.4323;0
Fîne D;115500;61.8302;15.8253;1
Fîra;76010;57.0107;16.8816;0
Gammalkroppa;94410;59.6833;14.3166;0
Gammalstorp;64090;56.1118;14.6218;0
GargnÑs D;157790;65.3263;17.9505;1
Garn;82030;58.0492;12.1563;0
Gastsjîn;125580;62.9595;15.8545;0
Gendalen;82110;58.1589;12.6470;1
Genevad;63340;56.5684;13.0338;0
Gesunda D;104540;60.8896;14.5473;1
Getterum;76340;57.5691;16.2849;0
Gielas;155800;65.3272;15.0677;0
Gielas A;155790;65.3280;15.0686;0
Gillastig;63010;56.0147;13.2334;1
Gillinge D;98060;59.1112;18.6545;1
Gislaved;73170;57.2847;13.5324;0
GisselÜs;135640;63.7000;15.3666;0
Gittun;168760;66.3013;18.5504;0
Gladhammar A;76420;57.7071;16.4585;0
Glindran;86510;58.8427;16.4190;1
Glommen;62550;56.9303;12.3579;0
GlommerstrÑsk;159770;65.2780;19.6673;0
Gnarp;127040;62.0647;17.2788;0
Gnesta;97030;59.0950;17.3210;1
GodegÜrd D;85450;58.7564;15.1076;1
Gothem;78340;57.5666;18.7666;0
Gotska Sandîn;89240;58.3928;19.1970;0
Gotska Sandîn A;89230;58.3943;19.1975;0
Gran;127600;62.0166;17.6333;0
Granberget;145710;64.3000;15.9166;0
Granhult D;181740;67.1254;21.7977;0
Graninge;136710;63.0666;16.9500;0
Granshult;75130;57.2036;15.0843;0
Gransjî;147300;64.4947;17.4599;0
GrantrÑsk D;148200;64.3346;18.3756;1
GranÜn;163970;65.9199;23.4267;0
GranÜsen;146010;64.0147;16.8070;0
Granî D;149150;64.2517;19.3127;1
Grebbeshult;72330;57.5413;12.4630;0
Grebbestad;81420;58.6933;11.2485;1
GrecksÜsar;94330;59.5477;14.8136;0
Greningen;135200;63.3271;15.4054;0
Grimeton;72070;57.1481;12.4413;0
GrimsmÜla;64200;56.3260;14.8805;0
Grindsjîn;97050;59.0809;17.8617;0
Grums;93200;59.3499;13.1107;1
Grundforsen;112170;61.2797;12.8568;0
Grundkallen;108300;60.5000;18.8666;0
Grundsjîn;64120;56.1290;14.5860;0
Gruvberget;116050;61.1031;16.1582;0
Grycksbo D;105420;60.6907;15.4910;0
Gryt;85660;58.9000;15.3666;0
Grythyttan;94420;59.7113;14.5301;1
GrÑngesberg;105050;60.0864;15.0202;0
GrÑnna;84610;58.0333;14.4666;0
GrÑsmark;92560;59.9339;12.8992;0
GrÑstorp;82200;58.3355;12.6765;0
GrÑsÜs D;93310;59.5271;13.9389;1
GrÜda Kraftverk;105360;60.6046;15.0146;0
Grînbo;95380;59.6396;15.4180;0
Grînliden;150440;64.7301;20.1927;0
Grîvelsjîn;122610;62.0991;12.3153;0
Gubbhîgen A;145130;64.2182;15.5561;0
GullaboÜs;65630;56.4333;15.8833;0
Gullaskruv;65530;56.8740;15.6841;0
Gullringen;75490;57.8120;15.6662;0
GullspÜng;84590;58.9863;14.1101;0
Gulsele;137490;63.8159;17.1282;0
Gunnarn;147570;65.0099;17.7014;0
Gunnarn A;147560;65.0106;17.7034;0
Gunnebo;76430;57.7166;16.5333;0
Gunnesbyn;81590;58.9765;11.6951;0
Gustavsberg;98180;59.3226;18.3725;0
Gustavsfors;103090;60.1514;13.7975;1
Gustavsfors A;103100;60.1538;13.8019;0
GustavsnÑs D;125490;62.8108;15.9333;0
Gustorp D;86260;58.4223;16.1351;1
GyngamÜla;64220;56.3463;14.8219;0
Gysinge;106170;60.2836;16.8857;0
GÑddede;144300;64.5037;14.1596;0
GÑddede A;144310;64.5057;14.2238;0
GÑllivare;180730;67.1429;20.6586;0
GÑllivare A;180760;67.1421;20.6455;0
GÑllivare Flygplats;180740;67.1358;20.8144;0
GÑllivare-Flakaberg;171850;66.5189;21.9092;0
GÑrdsjî;106720;60.9333;15.2333;0
GÑrsnÑs;54650;55.5500;14.1833;0
GÑvle;107400;60.6537;17.1693;0
GÑvle A;107420;60.7166;17.1641;0
GÑvle-Lexe;107410;60.6812;17.0980;0
GÑvle-èbyggeby;107430;60.7285;17.1132;0
GÜltjÑrn;127480;62.7958;17.5538;0
GÜngarebo;72010;57.0153;12.9160;0
GÜrdsjî A;84520;58.8772;14.3903;0
GÜrdvik;105400;60.7216;15.8119;0
GÜxsjî D;135420;63.6734;15.1041;0
Gîdeberg;74350;57.5666;14.6333;0
Gîrdalen D;112360;61.5951;12.5003;1
GîssÑter;83370;58.6166;13.4666;0
Gîteborg A;71420;57.7157;11.9925;0
Habo;74550;57.9097;14.0833;0
Haby;72280;57.4666;12.6500;0
Hacksta;97350;59.5546;17.0521;0
Haddebo;85550;58.9166;15.3666;0
Hagshults Flygplats;74180;57.2880;14.1297;0
Hakkas;171970;66.9178;21.5757;0
Hallamîlla;54430;55.7082;14.0106;0
Hallands vÑderî;62630;56.4500;12.5500;0
Hallands VÑderî A;62260;56.4495;12.5470;0
Hallen;134120;63.1776;14.0918;0
HallhÜxÜsen A;135460;63.7695;15.3310;0
Hallsberg D;95040;59.0605;15.0848;0
Hallstaberg;96390;59.6545;16.7995;1
Hallviken;135440;63.7300;15.5000;0
Halmstad;62390;56.6750;12.9247;0
Halmstad;62400;56.6737;12.9242;0
Halmstad Flygflottilj;62410;56.6833;12.8333;0
Hammarby-GÑstrike D;106360;60.5648;16.5860;1
Hammarstrand D;136060;63.1003;16.3499;0
Hammenhîg;54310;55.5049;14.1589;0
Hammerdal D;135350;63.5750;15.3685;1
Hamra;114400;61.6577;14.9943;0
Hamra A;114410;61.6606;14.9948;0
Handsjîn D;124290;62.4768;14.8009;1
Hanî A;64020;56.0131;14.8488;0
Haparanda;163950;65.8367;24.1130;0
Haparanda A;163960;65.8249;24.1162;0
Harads D;170670;66.0805;20.9680;1
Haraholmen;161780;65.2391;21.6317;0
Harbo;107080;60.1364;17.2382;0
Harrsele;149010;64.0193;19.5682;0
HarrtrÑsk;180710;67.0333;20.7000;0
Harstena;87150;58.2502;17.0095;0
Harstena A;87140;58.2505;17.0106;0
Hasberget;115710;61.4333;14.8500;0
Hassela D;126070;62.1001;16.7849;0
Hasslarp;62080;56.1333;12.8166;0
HattsjîbÑcken D;138360;63.5918;18.9539;1
Havraryd D;63480;56.7923;13.1384;0
Hedberg;158830;65.4273;18.8136;0
Hede;123250;62.4107;13.5184;0
Hedemora;105160;60.2783;15.9872;0
Heden;81310;58.5185;11.5248;1
Hedesunda;107230;60.4058;17.0221;1
Hedeviken;123340;62.4112;13.6748;0
Hednoret;161650;65.8333;21.5500;0
Hejnum;78420;57.6954;18.6377;1
Hellerî;76570;57.9545;16.6513;1
Helsingborg;62030;56.0431;12.6906;0
Helsingborg 2;62020;56.0261;12.7432;0
Helsingborg A;62040;56.0304;12.7653;0
Hemavan D;155940;65.8224;15.0885;1
Hemling;138400;63.6574;18.5318;0
Hemling A;138390;63.6513;18.5502;0
Hemse;78140;57.2438;18.3835;1
Hemsjî;64210;56.3248;14.7138;0
Hennan D;125030;62.0313;15.9127;1
HenÜn;81140;58.2327;11.6826;0
Herrberga;85210;58.3935;15.2184;0
Herrljunga D;83060;58.0862;13.0485;1
Herrvik D;78250;57.4220;18.9091;0
HerrÜkra;65560;56.9255;15.1688;0
Hestra D;73230;57.4669;13.6319;1
Hid D;73220;57.3658;13.0486;1
Hillersbo;106610;60.0666;16.5833;0
Hillersboda;105390;60.7074;15.9392;1
Hillsand;145090;64.1102;15.3168;1
Hinshult;65580;56.9703;15.8768;1
Hissmofors;134200;63.3329;14.4733;0
Hjo;84180;58.3202;14.3332;1
Hjorted;76370;57.6215;16.3117;0
Hjortkvarn D;85540;58.9313;15.4479;1
Hjulsta;97640;59.5500;17.0166;0
HjÑlmsÑter;83350;58.5829;13.3398;0
HjÑlta Kraftverk;137120;63.1845;17.1039;0
HjÑrnarp;62200;56.3166;12.9166;0
Hoberg;132660;63.8500;12.9833;0
Hoburg A;68560;56.9213;18.1541;0
Hoburg D;68550;56.9220;18.1504;1
Hoby;65150;56.2163;15.0990;0
Hofors;106330;60.5403;16.2920;1
Holma;86200;58.3339;16.8157;0
Holmbo D;86120;58.1944;16.3635;1
Holmfors D;150460;64.7855;20.5185;1
Holmsberg;108620;60.0166;18.3333;0
Holmîgadd A;140360;63.5949;20.7565;0
Holmîgadd A;140360;63.5949;20.7565;0
Holmîn A;140460;63.8082;20.8692;0
Holmîn D;140470;63.7918;20.8606;1
Holsvattnet;161980;65.9666;21.6000;0
Horda;74020;57.0252;14.2936;0
Horn A;75520;57.8863;15.8652;0
Hornkullen;94400;59.6506;14.2849;0
Horrmund;113190;61.3138;13.1615;0
Hoting;146070;64.1236;16.2149;0
Hoting A;146050;64.0885;16.2388;0
Hov;62270;56.4498;12.7033;1
Hudiksvall;117440;61.7167;17.0860;0
Hullsjîn;126330;62.5500;16.7000;0
Hult;75060;57.1000;15.2333;0
Hult;86410;58.6756;16.1346;1
Hunge;125450;62.7540;15.0921;0
Hunge A;125440;62.7512;15.0876;0
Husarî;98290;59.5052;18.8417;0
Huskvarna;74480;57.7865;14.2874;1
Hylletofta;74260;57.4399;14.4729;0
Hyltan;64410;56.6815;14.3358;1
Hyndevad;96200;59.3226;16.4422;1
Hyvlinge;97450;59.7475;17.0682;0
HÑggberget D;123020;62.0310;13.0879;1
HÑggsjîn;132310;63.5158;12.7159;0
HÑggÜrda;72370;57.6149;12.9451;1
HÑljum;127160;62.2622;17.3358;0
HÑlleforsnÑs D;96090;59.1567;16.5092;1
HÑllnÑs-Lund;149160;64.2684;19.6314;0
HÑllsjîn;105720;60.0333;15.1500;0
HÑllum A;83190;58.3221;13.0406;0
HÑrlîv;64580;56.9666;14.6333;0
HÑrnebo;116070;61.1326;16.7458;1
HÑrnî;128370;62.6183;18.0618;0
HÑrnîsand;127380;62.6280;17.9471;0
HÑrsjînÑs;72650;57.7500;12.3500;0
HÑrsnÑs;85180;58.2886;15.2370;0
HÑssleby;75380;57.6167;15.5831;1
HÑssleholm;63080;56.1367;13.7445;0
HÜkafot D;144230;64.3914;14.3913;1
HÜllî;81630;58.3333;11.2166;0
HÜngstad;91520;59.8633;11.9746;0
HÜrsfjÑrden;98040;59.0714;18.1217;0
HÜvelund;81570;58.9460;11.4414;1
HÜvrestrîm;82500;58.8216;12.4127;0
Hîgaryd;63730;56.7166;13.1666;0
Hîgbo;106410;60.6892;16.8193;0
Hîgboda;93350;59.5762;13.0279;1
HîgemÜlen D;84040;58.0563;14.5956;1
Hîgland D;145340;64.5812;15.8792;1
Hîglandsbodarna D;127390;62.6336;17.4146;1
Hîglekardalen;133050;63.0796;13.7529;0
Hîgsjî;95020;59.0297;15.6858;0
Hîgsta;95290;59.3521;15.4802;0
Hîgstena;83610;58.2333;13.7166;0
Hîgsvedjan;126340;62.5535;16.6992;0
HîgsÑter;91660;59.8800;11.9700;0
Hîgsîn;162970;65.8849;22.3961;0
HîksÑter;81530;58.8833;11.8833;0
Hîkîpinge;53630;55.5000;13.0166;0
Hîlick;117370;61.6239;17.4401;0
Hîljes;102540;60.9066;12.5843;1
Hîrby;53500;55.8506;13.6672;0
Hîrby A;53530;55.8633;13.6689;0
Hîrken;104020;60.0290;14.9382;0
Hîrlinge;63620;56.2000;13.6833;0
Idkerberget;105230;60.3758;15.2310;0
Idre D;112520;61.8591;12.7286;1
Idre FjÑll;112540;61.8896;12.8559;0
Idvattnet;147270;64.4542;17.0794;0
